index,county_fips,county,is_energy_community,is_nuclear_community,has_brownfield,county_fossil_jobs,plant_name,site_status,build_requirement,old_site_mw,water_use_galyear,water_use_galday,max_new_power,delta_trans_mw,max_intercon_mw,dist_population,reusable_mw_transmission,geometry,latitude,longitude
1,36007,Broome,1,0,1,14.1426,Binghamton Cogen,retired,replace,47.7,63506818,173872,1000,952.3,952.3,2.46034626796915,47.7,"c(-75.92778, 42.107192)",42.107192,-75.92778
2,36007,Broome,1,0,1,14.1426,GMMM Westover,retired,replace,118.8,158184576,433086,1000,881.2,881.2,1.60487298200001,118.8,"c(-75.9747, 42.1117)",42.1117,-75.9747
3,36013,Chautauqua,1,0,1,69.9994,Dunkirk Generating Plant,retired,replace,627.2,835129344,2286460,1000,372.8,372.8,1.93728569088446,627.2,"c(-79.34663, 42.491467)",42.491467,-79.34663
4,36013,Chautauqua,1,0,1,69.9994,S A Carlson,operational,replace,96.3,109420610,299577,903.7,903.7,903.7,2.00877035209728,96.3,"c(-79.2478, 42.0933)",42.0933,-79.2478
5,36045,Jefferson,0,0,1,2.7537,Carthage Energy LLC,operational,replace,62.9,64271862,175967,937.1,937.1,937.1,4.43843788216226,62.9,"c(-75.6225, 43.9842)",43.9842,-75.6225
6,36045,Jefferson,0,0,1,2.7537,Deferiet New York,retired,replace,8.1,10785312,29529,1000,991.9,991.9,0.458960844634989,8.1,"c(-75.68111, 44.038333)",44.038333,-75.68111
7,36055,Monroe,0,0,1,40.0114,Iola Powerhouse & Cogeneration Facility,retired,replace,4.2,4376188,11981,1000,995.8,995.8,1.24087890725355,4.2,"c(-77.61382, 43.112107)",43.112107,-77.61382
8,36055,Monroe,0,0,1,40.0114,Monroe Community College Plant,operational,replace,5.6,5834917,15975,994.4,994.4,994.4,1.74881491779058,5.6,"c(-77.61028, 43.103889)",43.103889,-77.61028
9,36055,Monroe,0,0,1,40.0114,"RED-Rochester, LLC",operational,replace,162.4,170043254,465553,837.6,837.6,837.6,1.22869325246974,162.4,"c(-77.6319, 43.1989)",43.1989,-77.6319
10,36055,Monroe,0,0,1,40.0114,Rochester 3,retired,replace,19,1099836,3011,1000,981,981,0.323808790023552,19,"c(-77.61806, 43.161667)",43.161667,-77.61806
11,36055,Monroe,0,0,1,40.0114,Rochester 7,retired,replace,252.6,336341952,920854,1000,747.4,747.4,2.35752129874595,252.6,"c(-77.62944, 43.268889)",43.268889,-77.62944
12,36055,Monroe,0,0,1,40.0114,Rochester 9,retired,replace,19,25296217,69257,1000,981,981,0.692369932028808,19,"c(-77.6601, 43.151)",43.151,-77.6601
13,36055,Monroe,0,0,1,40.0114,University of Rochester,operational,replace,25.4,24076268,65917,974.6,974.6,974.6,0.32662730032483,25.4,"c(-77.62889, 43.123889)",43.123889,-77.62889
14,36075,Oswego,0,1,1,94.734,Fulton Cogeneration Associates,retired,replace,47,62574852,171321,1000,953,953,12.9517275592067,47,"c(-76.40361, 43.322222)",43.322222,-76.40361
15,36075,Oswego,0,1,1,94.734,Indeck Oswego Energy Center,operational,replace,57.4,58651905,160580,942.6,942.6,942.6,21.4800884065872,57.4,"c(-76.49347, 43.471745)",43.471745,-76.49347
16,36075,Oswego,0,1,1,94.734,James A Fitzpatrick,operational,extend,883.3,4809759293,13168403,1000,1000,1000,20.1765969709242,0,"c(-76.40839, 43.52139)",43.52139,-76.40839
17,36075,Oswego,0,1,1,94.734,Nine Mile Point Nuclear Station,operational,extend,1901.1,10351900138,28341958,1000,1000,1000,20.2237616370332,0,"c(-76.41, 43.5211)",43.5211,-76.41
18,36075,Oswego,0,1,1,94.734,Oswego Harbor Power,operational,replace,1803.6,104403334,285841,-803.6,-803.6,0,20.4544130755583,1803.6,"c(-76.5319, 43.4586)",43.4586,-76.5319
19,36075,Oswego,0,1,1,94.734,Sithe Independence Station,operational,replace,1157.8,1183051850,3239019,-157.8,-157.8,0,20.7558560640613,1157.8,"c(-76.4511, 43.495)",43.495,-76.4511
20,36089,St Lawrence,0,0,1,6.102,Massena Energy Facility,operational,replace,104.1,104442594,285948,895.9,895.9,895.9,51.4299614065695,104.1,"c(-74.8928, 44.9503)",44.9503,-74.8928
21,36089,St Lawrence,0,0,1,6.102,Ogdensburg Power,operational,replace,26.9,25498095,69810,973.1,973.1,973.1,49.4160149727049,26.9,"c(-75.4417, 44.7258)",44.7258,-75.4417
22,36117,Wayne,0,0,1,0.015,Harbec Energy,operational,replace,0.5,665690,1823,999.5,999.5,999.5,4.13714727656865,0.5,"c(-77.36409, 43.22731)",43.22731,-77.36409
23,36117,Wayne,0,0,1,0.015,R E Ginna Nuclear Power Plant,operational,extend,614,3343362624,9153628,1000,1000,1000,7.93006809479141,0,"c(-77.3099, 43.2777)",43.2777,-77.3099
