index,var_name,reactor,fuel,description,pair,category,mwe_per_unit,capex,fixed_om,var_om,lcoe,water,status,totalcost,burnup,fuelcost,relative_waste,cap_fac,annual_mwh,water_galday,water_galyear,jobs_per_mw,jobs_per_unit
1,X1,PWR,LEU,Pressurized Water Reactor (PWR) + Standard LEU (<5% U-235),'PWR_LEU',Conv.,1100,7821,128,5,110,2120,Commercial,2100,49,0.04,1,0.925,8913300,13676299,4991849232,0.737,810.7
2,X2,PWR,LHALEU,Pressurized Water Reactor (PWR) + Low HALEU (5–10% U-235),'PWR_LHALEU',Conv.,1100,7821,128,5,110,2120,Commercial,3250,57,0.06,0.8,0.925,8913300,13676299,4991849232,0.737,810.7
3,X3,PWR,MOX,Pressurized Water Reactor (PWR) + MOX (Mixed Oxide),'PWR_MOX',Conv.,1100,7821,128,5,110,2120,Commercial,3250,50,0.07,0.7,0.925,8913300,13676299,4991849232,0.737,810.7
4,X4,BWR,LEU,Boiling Water Reactor (BWR) + Standard LEU (<5% U-235),'BWR_LEU',Conv.,1175,5550,143,5,103,2120,Commercial,2100,49,0.04,1,0.925,9521025,14608774,5332202588,0.737,865.975
5,X5,BWR,LHALEU,Boiling Water Reactor (BWR) + Low HALEU (5–10% U-235),'BWR_LHALEU',Conv.,1175,5550,143,5,103,2120,Commercial,3250,57,0.06,0.8,0.925,9521025,14608774,5332202588,0.737,865.975
6,X6,BWR,MOX,Boiling Water Reactor (BWR) + MOX (Mixed Oxide),'BWR_MOX',Conv.,1175,5550,143,5,103,2120,Commercial,3250,50,0.07,0.7,0.925,9521025,14608774,5332202588,0.737,865.975
7,X7,SMR,LEU,Light Water SMR + Standard LEU (<5% U-235),'SMR_LEU',SMR,189,14818,80,4,150,1850,Pre-comm.,2100,49,0.04,1,0.925,1531467,2050565,748456297,0.237,44.793
8,X8,SMR,LHALEU,Light Water SMR + Low HALEU (5–10% U-235),'SMR_LHALEU',SMR,189,14818,80,4,150,1850,Pre-comm.,3250,57,0.06,0.8,0.925,1531467,2050565,748456297,0.237,44.793
9,X9,HTGR,LHALEU,High-Temp Gas-Cooled (HTGR) + Low HALEU (5–10% U-235),'HTGR_LHALEU',Advanced SMR,140,4355,65,4,105,1100,Demo,3250,57,0.06,0.8,0.925,1134420,903152,329650421,0.237,33.18
10,X10,HTGR,TRISO,High-Temp Gas-Cooled (HTGR) + HALEU-TRISO (15–20% U-235),'HTGR_TRISO',Advanced SMR,140,4355,65,4,105,1100,Demo,57500,175,0.33,0.1,0.925,1134420,903152,329650421,0.237,33.18
11,X11,SFR,MHALEU,Sodium-Cooled Fast Reactor (SFR) + Metallic HALEU (fast reactor grade),'SFR_MHALEU',Advanced SMR,323,20290,55,4,140,1850,Demo,47500,125,0.38,0.4,0.925,2617269,3504405,1279107851,0.237,76.551
12,X12,SFR,MOX,Sodium-Cooled Fast Reactor (SFR) + MOX (Mixed Oxide),'SFR_MOX',Advanced SMR,323,20290,55,4,140,1850,Demo,3250,50,0.07,0.7,0.925,2617269,3504405,1279107851,0.237,76.551
13,X13,MSR,LEU,Molten Salt Reactor (MSR) + Standard LEU (<5% U-235),'MSR_LEU',Gen IV,250,3985,55,3,72,1100,Pre-license,2100,49,0.04,1,0.925,2025750,1612771,588661466,0.737,184.25
14,X14,MSR,LHALEU,Molten Salt Reactor (MSR) + Low HALEU (5–10% U-235),'MSR_LHALEU',Gen IV,250,3985,55,3,72,1100,Pre-license,3250,57,0.06,0.8,0.925,2025750,1612771,588661466,0.737,184.25
15,X15,MSR,MOX,Molten Salt Reactor (MSR) + MOX (Mixed Oxide),'MSR_MOX',Gen IV,250,3985,55,3,72,1100,Pre-license,3250,50,0.07,0.7,0.925,2025750,1612771,588661466,0.737,184.25
16,X16,CANDU,NATU,PHWR / CANDU + Natural Uranium (unenriched),'CANDU_NATU',Conv.,650,4250,115,4,90,2120,Commercial,275,7,0.04,5.5,0.925,5266950,8081450,2949729091,0.737,479.05
